DU145_NCI60	EKVX_NCI60	HCC2998_NCI60	HCT116_NCI60	HCT15_NCI60	HL60_NCI60	HOP62_NCI60	HOP92_NCI60	HS578T_NCI60	HT29_NCI60	IGROV1_NCI60	K562_NCI60	KM12_NCI60	LOXIMVI_NCI60	M14_NCI60	MALME3M_NCI60	MCF7_NCI60	MDAMB231_NCI60	MDAMB435_NCI60	MDAMB468_NCI60	MOLT4_NCI60	NCIADRES_NCI60	OVCAR3_NCI60	OVCAR4_NCI60	OVCAR5_NCI60	OVCAR8_NCI60	PC3_NCI60	RPMI8226_NCI60	RXF393_NCI60	SF268_NCI60	SF295_NCI60	SF539_NCI60	SKMEL2_NCI60	SKMEL28_NCI60	SKMEL5_NCI60	SKOV3_NCI60	SN12C_NCI60	SNB19_NCI60	SNB75_NCI60	SR_NCI60	SW620_NCI60	T47D_NCI60	TK10_NCI60	U031_NCI60	U251_NCI60	UACC257_NCI60	UACC62_NCI60
X274.MYO1C	8.257129387	8.096543384	7.882312122	7.837392015	7.763599846	7.246933211	7.794434465	7.655936923	8.148150345	7.78605036	7.737787824	6.724015283	7.1541102	7.726029558	7.973791391	7.926966275	7.938243054	7.950770267	7.86405886	7.57830651	5.603022605	8.239459707	7.504345059	7.641449355	7.952301799	8.004975429	6.807413033	7.047417762	8.028189191	8.101974095	7.961383498	7.944404488	7.40254849	7.574204075	7.313453842	7.829091105	8.350491681	7.923506766	7.920420938	7.276689808	7.600888401	7.735153099	8.032588388	7.843264696	7.840736262	7.658055097	7.639845099
X276.MYO1F	NA	5.234813808	5.536318935	5.147510337	4.925455603	7.011918012	5.032149021	5.133938837	5.299088954	4.915723032	NA	NA	5.189426897	6.101101612	5.120667355	5.38822995	5.210248982	NA	5.417153554	NA	NA	5.109274408	5.295053664	NA	4.955170096	4.985181535	5.560263828	NA	NA	6.220620227	5.673566278	NA	5.007602744	5.082828824	NA	5.166410844	NA	5.461183009	NA	5.333677871	6.141880467	NA	4.448864663	5.325495893	6.071346902	NA	5.326583436
X279.HAX1	6.646521675	6.778036007	6.655738287	6.001296419	6.627770593	6.796640214	6.280130045	6.766303474	6.299783175	6.306681667	5.994334522	6.860191064	6.557309891	5.955425437	6.292452593	6.30971059	6.602788141	6.687180614	6.423255098	6.584467158	7.199361691	6.589391301	6.615981495	6.577066035	6.39959599	6.832403655	7.043342056	6.903481429	5.937102429	6.194586533	6.78964716	6.387542479	5.922355334	6.155367544	6.486487053	6.936004462	5.894087511	6.907453545	6.700045719	6.958574216	6.678711125	6.252498758	6.44804207	6.450018657	6.519277887	6.258698171	6.385241248
X283.STXBP3	7.147418284	7.28749199	7.256012803	6.30762494	7.207984188	6.995080514	6.777497688	7.297405114	7.211837307	6.949246231	7.021363455	7.136982738	6.896107195	6.959789848	7.077282047	7.130797364	7.320335961	7.204313819	6.951817771	6.882953773	6.986162877	7.111238171	6.935694164	7.02679542	7.04678048	7.058155145	7.318889368	6.894796177	7.264222169	7.011317215	6.958648943	7.053734593	7.437717647	7.040074954	6.80853004	7.343746812	7.196718621	7.03360792	7.095734181	7.227794524	7.012949501	6.957509417	7.354918371	7.068118259	7.066352804	7.052354959	7.150446533
X288.AP3B1	7.814447325	7.715193358	7.86118915	7.717091591	7.683835368	7.640861468	7.627526388	7.66239147	7.790477541	7.566630519	7.849788709	7.472556041	7.837332583	7.713016245	7.710670778	7.431703993	7.54413248	7.758230824	7.697448623	7.588581147	7.508939273	7.51106217	7.524021262	7.472580975	7.741048506	7.566244693	7.558131818	7.713129218	7.687226946	7.600958785	7.905183564	7.733917676	7.399969051	7.868170042	7.939002418	7.907325217	7.620863799	7.79728033	7.731591407	7.816396953	7.542145381	7.852501095	7.693132697	7.744126946	7.695335953	7.866035761	7.858924939
X290.APBB1	6.339295589	6.450182901	NA	5.516695856	5.884282071	5.711205669	6.247872579	5.867173854	5.863483081	NA	5.296147888	NA	5.975761122	NA	6.54357923	NA	NA	6.478475712	6.848031659	NA	4.9760031	6.490373418	6.282534002	NA	NA	6.832273642	5.762889206	NA	5.023481049	7.005101267	6.078702049	NA	6.482329407	6.914771442	6.871719211	5.742520718	7.094112453	6.227565674	6.395818192	NA	4.814448013	NA	6.507950405	6.102301145	NA	6.253717192	7.197634068
X291.LGALS8	5.567534918	6.260449054	6.253845706	NA	6.67422165	7.005996928	6.107196688	6.080867294	NA	5.559969504	NA	6.754736235	5.016098357	5.675302383	6.336586835	7.032214516	NA	6.415797525	6.98749604	5.736232724	6.062938942	NA	6.025501535	6.173058298	6.413498644	6.290621573	5.697326486	6.194298043	NA	5.756197715	NA	5.949572524	NA	NA	NA	NA	6.012927535	6.233884563	5.877076031	7.144934379	6.764171967	6.038112418	5.592352093	5.422954884	6.114839196	6.675594815	6.721195277
X294.NFKBIE	6.820312988	6.123143709	6.597441303	6.119000451	6.368989227	6.897898911	6.78027604	6.802708978	6.495980515	6.05863351	6.595981086	6.466238049	6.281775202	6.529525196	6.37789635	6.457801655	6.522870297	7.055276054	6.565372259	6.697075386	NA	6.350878667	5.314846546	6.164990827	6.535804869	6.805324896	6.097491689	5.978958302	6.976069101	6.300235136	6.224418758	6.548224822	6.317496672	NA	6.332488258	6.728803799	6.687145718	6.305958971	6.718826784	6.446569429	6.048680131	6.380130785	6.655282079	6.540333595	6.456065684	6.716986643	6.802125647
X295.PSMD11	8.488639413	8.363026372	8.488183068	8.5266253	8.443003848	8.396199043	8.596131103	8.4317136	8.415978523	8.573824131	8.390873648	8.583926793	8.436322099	8.541004189	8.447438404	8.575754719	8.355495467	8.46344306	8.410735011	8.3224119	8.475166068	8.402450436	8.431118453	8.444900806	8.616263816	8.463573091	8.352158804	8.568879748	8.391615073	8.5222723	8.690073104	8.416966108	8.492503168	8.431867184	8.499995007	8.539086703	8.510659748	8.52963128	8.367560253	8.44958212	8.365386588	8.505197009	8.35344598	8.444440329	8.593427332	8.396485375	8.588984242
X296.PSMD12	8.025164707	8.141422167	8.258603697	8.361986096	8.158694763	8.144701402	8.359557206	8.245823199	8.179032422	8.243309738	8.202194512	8.309774132	8.085261106	8.321019016	8.145821112	8.469267761	8.124652988	8.205425692	8.090913547	8.140285031	8.193429502	8.10143866	8.196901375	8.156095253	8.397626514	8.143596964	8.165650577	8.206504099	8.163910223	8.266980015	8.475075823	8.167487548	8.26823409	8.220870639	8.284154538	8.324345239	8.37294546	8.243124324	8.159877071	8.136819662	8.20454078	8.251506625	8.120929031	8.167758878	8.407048279	8.186720552	8.2876648
X297.PSMD9	8.280679496	8.056828863	7.952052349	8.039672459	8.213097302	7.831755083	8.091328319	8.129430429	7.995510601	7.955899326	8.146451511	8.195243086	8.387348471	8.170471644	8.0869126	8.168156929	8.317869576	8.357261762	7.996673338	8.111153869	7.757150378	8.334679959	8.04501544	8.174980065	7.975417337	8.345085714	8.349623985	7.979030885	8.178764477	8.375210814	8.121235213	7.901282646	8.223555861	7.98210245	8.155272016	8.09351697	8.372053725	8.117378994	8.080599197	8.209254316	8.01284206	8.231271705	8.176155803	8.173946744	8.14551312	7.398472259	8.010205223
X298.ATOX1	8.302051581	8.557801438	8.393195578	8.123107501	8.316334643	8.766053305	8.604253564	8.861726052	8.717607185	7.915838203	8.44558133	8.261369028	8.365285595	9.023770015	9.519241387	8.733658386	8.802493991	8.657527356	9.014758035	8.636880873	8.554148464	8.83096468	8.586353575	8.922498155	8.908589908	8.630335451	8.767221189	8.655853873	8.694535338	8.792821579	8.985538522	8.783393101	9.401317304	9.757862192	9.833595634	8.639534121	8.944114106	8.679763376	8.733441104	8.87487064	8.441524472	8.961733141	8.96449587	8.7400911	8.547473921	9.033154259	9.342024811
X299.MEN1	6.16190743	6.225657443	6.207345434	5.823057445	6.094601777	6.607314943	5.88667025	5.836352123	4.884388269	7.315114835	6.414779731	6.342883917	6.549196978	6.745548531	6.096781356	6.764758118	6.45051243	6.957154045	6.961228076	6.492306033	6.84135363	6.079696987	6.126944984	5.960129505	5.923565041	6.424414026	6.472656724	6.449361722	5.802115191	7.110917554	6.262922721	5.861798655	5.90621559	6.834064576	5.78889405	6.237925784	6.901128855	6.253231677	6.302244958	6.528003796	6.786136783	6.324479135	5.975570916	6.565133277	6.258146383	6.88117709	6.692777828
X302.SUPT5H	7.717737556	7.70353718	7.441424353	7.766359188	7.753673061	7.712048715	7.822442924	7.445450284	7.588093159	7.648715772	7.502251725	7.683636081	7.793032987	7.650194263	7.749574347	7.872200066	7.680440943	7.597777651	7.687002331	7.750452361	7.658655209	7.753820422	8.476633605	7.923269092	7.493963316	7.622618854	7.402440106	7.742784417	7.688585843	7.603063504	7.704532674	7.823410621	7.814506302	7.577009539	7.860958703	7.420725505	7.663161773	7.595674102	7.577127486	7.728518277	7.712098515	7.497346496	7.472501883	7.69567017	7.674205293	7.719338972	7.635429641
X308.HIP1	7.003951766	7.008790365	6.702981891	6.770170376	6.873575527	6.560512515	6.863416948	7.311751713	6.822469633	6.117009937	6.870696394	5.879643969	6.508164324	6.200367425	6.678354118	6.855871111	7.003795545	6.465293156	6.774350676	6.451129179	6.321388803	6.375698831	6.707176816	6.560426812	7.1394388	6.470538962	6.414138182	5.943662788	6.335472025	6.682908929	7.455255148	6.578477663	6.769031607	6.467785582	7.523438938	6.409404781	6.801487032	7.164070883	7.062241824	6.042148682	7.486884006	7.175848971	6.99139181	6.527832582	6.753890919	6.99590002	7.207111551
X311.WWP2	6.114509897	6.273977264	6.300083657	6.14736719	6.510830509	6.551734823	6.276806032	6.014017306	6.663017227	6.236346678	6.141526872	6.455010002	6.375402279	5.529777993	6.494592239	6.209284952	6.313656014	6.18456534	5.566643703	5.813151064	6.017496962	5.587146511	5.703217522	6.065726009	6.297095443	6.117000603	5.898064098	6.478969504	5.62559608	5.934514724	6.131446177	6.135246707	6.044689912	5.405498619	5.496870029	6.036362418	6.431636429	6.32126692	5.842592738	5.86448618	6.847489517	6.080084548	5.904207019	6.047390415	6.423370771	5.774727636	6.071226941
X312.CDC7	5.221524519	5.091512075	6.547674775	5.985957666	6.17614984	5.467477627	4.842382472	5.456965682	7.021249509	5.949865572	5.914966752	6.595930885	6.929741095	4.861738906	6.780973307	5.805235164	5.604329543	5.530748549	6.194154475	5.008774253	6.183352053	5.950154891	5.69476612	5.011805842	6.958622687	6.365986741	4.438515472	5.603028633	NA	5.437620289	5.903189878	NA	5.356481438	NA	6.361158068	NA	4.547082854	6.479187517	NA	4.650754488	5.732412524	NA	NA	5.798286702	4.432085912	5.67776881	6.892228596
X313.PIK3CD	5.312958942	NA	NA	NA	4.741249851	6.884495328	5.443601753	5.220316766	5.060690953	5.999717717	NA	4.745781697	NA	5.897878114	6.083930724	6.062344282	5.171780185	5.867853678	5.928572725	5.713919743	5.820427163	5.560150961	6.022562483	4.538759173	4.746594696	5.569778681	5.333371631	5.570683855	6.085477253	5.783778953	5.354141405	5.113085448	6.017335586	7.097361239	6.616506704	5.032228131	5.167918217	5.351285848	5.288094425	NA	5.203248854	6.354205061	5.653816112	4.693461879	5.835954737	6.868983267	5.662656322
X318.DCTN6	7.444362042	7.703856144	7.703794585	7.278771827	7.322584638	7.28121948	7.410180594	7.692785007	7.564149233	5.567867162	7.432134889	7.53818972	7.268094974	7.509626252	7.452557329	7.582146597	7.419900905	7.506428602	7.610783078	7.393416247	7.748011034	7.40082588	7.846387203	7.554945555	7.451776182	7.378267365	7.476600451	7.27857504	7.539659092	7.438683434	7.489614813	7.503682314	7.64622767	7.387892072	7.477486434	7.491302759	7.425279831	7.515942158	7.66638549	7.55891558	7.197621271	7.504748439	7.675442951	7.722926595	7.489739628	7.186458745	7.294774962
X320.WASL	7.135121337	7.277395577	7.086426667	7.045721125	7.088181775	6.860229706	7.17940476	7.345418071	7.119519853	7.484262789	6.98896121	5.764894495	6.96583776	7.196460431	7.327574815	7.405437844	7.766123519	7.24810911	7.451053199	6.836637698	NA	6.603677595	6.76918009	7.159312726	7.123654924	6.500153644	7.269062699	5.926682592	7.448554399	7.145158147	7.451463736	6.864695603	7.456909104	7.192611365	7.324378077	7.155221009	7.13693803	7.22281639	7.225597161	5.682051393	6.345834098	7.150223207	7.411702459	7.380631045	6.976364492	7.598027695	7.460623046
X321.IPO5	8.183056083	8.136387152	8.291162144	8.269036514	8.395906112	8.374102295	8.320572158	8.192585803	8.339292578	8.494199728	8.374142942	8.193413917	8.302596317	8.372203703	8.010733256	8.287317465	7.891332362	8.257507109	8.049353588	8.081102329	8.33275204	8.40294208	8.002706766	7.925062641	8.133649063	8.558922339	8.19056308	8.305873466	8.240458741	8.50798241	8.311935306	8.365900693	7.766835655	7.854916994	8.09744096	8.246796886	8.352099766	8.158872902	8.29633133	8.235398935	8.368871862	8.011942903	8.087710326	8.141085585	8.116324731	8.203631958	7.932998602
X322.IPO5	6.611492003	6.137122621	6.139913909	6.553729353	6.42957922	6.040964688	6.474621656	6.45852074	6.362836527	6.032323026	6.203479446	6.556509458	6.303606892	6.528375222	6.492251399	6.381297744	6.024709774	6.354484383	6.106401852	6.189480639	6.120270477	6.591895535	6.427921047	6.596745934	6.392487181	6.530572434	6.509993086	6.236752012	6.309103949	6.259748445	6.333550869	6.186520761	6.443715301	6.130959876	6.43865484	6.282520691	6.471069938	6.289142941	5.860564669	6.085821336	6.364670232	6.255367883	6.444285804	6.356115458	6.372237221	6.320446736	6.352418084
X327.IGF2BP3	6.942088775	8.357682007	8.382208792	8.012962667	7.883846356	7.927307867	8.215250272	8.359785012	7.083324645	7.977247046	8.493732877	8.317827666	7.397859113	8.25516922	8.027565145	8.048723663	6.35098906	7.747512078	7.518727382	8.171874745	7.655920549	8.064573296	8.52477712	8.343974759	8.621634778	7.638163512	7.829916275	8.177049119	8.367119658	7.773752987	8.164272506	7.636417247	7.861361938	8.017324726	8.093179246	7.701731269	8.231842678	7.554315967	7.666009094	6.669920442	8.090258669	7.164006825	7.993463678	8.207481617	8.113151302	8.07259977	8.161586366
X328.DNM1L	7.740278564	7.957956189	7.692377151	7.93803093	7.896384951	7.848657343	8.347557724	8.045341057	7.95235881	7.767574548	8.174013442	7.786705677	7.962495082	8.043634103	7.970582833	7.47341864	7.8563393	7.893985352	7.862240095	7.834639254	7.447545136	8.169336978	8.152546852	8.201975394	7.773190977	8.178297372	7.758142524	7.770051978	8.071182727	8.130887407	7.899785923	7.990648175	8.011170056	8.02101673	8.034105787	8.64815036	7.6427773	7.852691218	7.918472401	7.86453109	8.079271738	8.011162131	7.782739973	7.982024702	7.885295094	7.65878144	8.081170075
X329.DNM1L	5.590871691	6.250330504	NA	6.012845591	5.98522638	6.241912704	6.245973017	6.138366774	6.140982064	5.920861486	NA	5.892330787	5.484487328	6.012240152	6.069447266	5.971630314	5.910997872	6.52816701	6.118254198	5.991223185	5.363620419	6.310418483	6.122745204	6.279648639	5.842272536	6.391968038	5.700616776	6.083789564	5.753701611	6.224086823	5.869287206	6.182430812	5.927816809	6.111217719	6.178887833	6.712127401	5.950364095	6.150252488	6.341885894	5.719151734	6.224837347	5.881034787	NA	6.029077829	5.979979788	6.152486428	6.354888207
X330.DNM1L	NA	5.760742676	NA	5.988730869	6.065765287	6.20501571	6.196391292	6.214050604	6.249093675	NA	5.88428515	NA	NA	5.641537747	5.869511194	5.570600772	NA	6.225924441	5.658640537	5.734890677	NA	6.353415297	6.073009564	6.196535593	NA	6.216602386	NA	5.786330114	6.081417948	6.200168839	6.197787328	6.301519076	NA	5.737089754	5.506588929	6.600633006	NA	5.571741689	6.286360443	NA	6.120191922	6.02932666	NA	5.872344838	5.584750668	5.878624888	5.951353207
X333.PIK3C2A	6.697836278	6.710233866	6.864487289	6.658679695	6.793461997	6.486817919	6.753539413	6.475661531	6.493018542	7.172525453	6.740716022	6.244176636	6.647037802	6.758656326	6.745490495	6.884508384	6.729605357	6.696258486	6.788598506	6.567066397	5.585471851	6.71646604	6.869069063	6.68595719	6.815625151	6.529996283	6.71388664	6.339758447	6.648186987	7.384370299	6.169383967	6.546451216	6.534946859	6.792991745	6.720684679	6.725918737	6.878191046	6.528826019	6.438922968	5.854550301	6.953892202	6.617285235	6.770898861	6.940703697	6.66523835	6.945839306	6.97211738
X336.PIK3R2	7.04659145	6.690993332	6.331846646	7.062716886	7.080910859	6.066346597	6.809378255	6.799099059	6.600049466	6.2606347	5.679718264	7.037615392	6.870343198	6.817930116	6.889491691	6.039859369	7.055262131	6.569789163	6.466746343	6.765068347	5.469602062	5.715749302	6.42359819	6.228408993	5.480880568	6.024271587	7.009446626	5.768699424	6.646826436	6.129318989	6.350287982	6.232976401	6.592289752	6.514000341	6.655871672	5.36253704	6.046884505	6.216982912	6.308100605	5.817849504	5.939757049	5.752947092	5.522122993	6.418482484	6.894000043	5.735901549	6.249144049
X341.AGRN	7.114137237	6.948829154	6.44250342	NA	5.89971227	6.211001869	6.24619813	6.61561323	6.2970395	7.539025113	7.598519034	5.788004887	5.257105734	6.46269429	6.060794738	6.863861521	6.863703501	6.779339579	5.931537774	6.807899913	NA	6.974671794	7.244404375	7.477983016	6.876138913	6.448221141	6.402766482	5.692717796	6.771426554	6.393131413	5.821367328	6.673236201	5.699342663	5.971495223	5.898215048	6.991479333	7.005142931	6.858597955	7.119765692	NA	6.178554364	6.66805615	7.423172513	6.982518998	6.803334727	6.309209596	6.276766175
X349.PSMD14	8.105392055	8.050631674	8.191923525	8.336999096	8.167032806	8.0313316	8.409492809	8.230296488	8.18562969	8.037808763	8.061541583	8.486102413	8.129669454	8.24156181	8.132146559	8.286431752	7.955339269	8.134055273	8.020752635	7.956846943	8.131032718	8.131797653	8.27410416	8.240757649	8.361133219	8.037748295	8.097422324	8.382389334	8.294822952	8.149646153	8.44182939	8.153423758	8.294385033	7.988353703	8.329875876	8.280863228	8.134597535	8.161831643	8.00098431	8.300206194	8.112572525	8.183466654	8.226263092	8.286089333	8.376500344	8.057358453	8.176954263
X352.KPNA3	7.850839185	7.591619256	8.026897944	8.112595539	7.970424667	8.082294447	7.934291819	7.922622053	7.98212792	8.153710956	8.009412235	7.469274839	7.788212753	8.152800074	7.643719962	7.840901058	7.473296816	7.770928934	7.697828978	7.696497604	7.88410561	8.088869894	7.768121765	7.534045449	7.879342162	8.223440486	7.799061812	7.660544581	8.017978668	7.96022597	8.156311856	7.746816528	7.542892414	7.766001178	7.685290733	7.793775406	7.861432794	7.827033027	7.518202131	7.919109464	8.024608639	7.625279168	7.8204026	7.842131167	7.909085434	8.09464729	7.594939751
X353.STK25	7.022144332	6.95498876	6.891074737	7.01268944	6.931174823	6.304202422	6.865565217	6.359436189	6.917186316	6.638546054	6.191668223	6.639247343	6.465027101	6.840461342	6.935397216	6.621381889	6.290904914	6.839306512	6.91190017	6.467216292	5.884913901	5.949622867	6.701604974	6.527569865	7.088811995	5.981721889	6.478868916	6.587263516	6.971088275	6.704953465	6.442435735	7.014196787	6.513038799	6.646086582	6.485494817	6.43205647	6.97529584	6.800271984	6.585014704	6.07976673	6.353486481	6.498566632	7.260654743	6.893844015	6.86069056	6.383297983	6.493212675
