DU145_NCI60	EKVX_NCI60	HCC2998_NCI60	HCT116_NCI60	HCT15_NCI60	HL60_NCI60	HOP62_NCI60	HOP92_NCI60	HS578T_NCI60	HT29_NCI60	IGROV1_NCI60	K562_NCI60	KM12_NCI60	LOXIMVI_NCI60	M14_NCI60	MALME3M_NCI60	MCF7_NCI60	MDAMB231_NCI60	MDAMB435_NCI60	MDAMB468_NCI60	MOLT4_NCI60	NCIADRES_NCI60	OVCAR3_NCI60	OVCAR4_NCI60	OVCAR5_NCI60	OVCAR8_NCI60	PC3_NCI60	RPMI8226_NCI60	RXF393_NCI60	SF268_NCI60	SF295_NCI60	SF539_NCI60	SKMEL2_NCI60	SKMEL28_NCI60	SKMEL5_NCI60	SKOV3_NCI60	SN12C_NCI60	SNB19_NCI60	SNB75_NCI60	SR_NCI60	SW620_NCI60	T47D_NCI60	TK10_NCI60	U031_NCI60	U251_NCI60	UACC257_NCI60	UACC62_NCI60
X1662.GPX1	NA	7.417674801	7.308051075	7.675355592	7.687727889	7.710308681	7.486677058	8.409426228	8.188046013	6.938053777	7.810958391	NA	7.974645737	7.188701083	7.651783952	7.525077914	NA	7.903620397	7.661427186	7.843004364	6.733979544	7.646094506	NA	7.682156681	7.49115348	7.746074474	7.533644301	7.408131807	7.078453469	8.168298903	7.873911069	7.915421584	7.606826829	7.934233333	NA	7.946188635	7.332419492	8.31725601	8.058406717	8.070323886	7.280337966	6.259543487	7.225960667	7.815762923	7.648038955	7.613506416	7.974423739
X1666.P4HB	9.063696632	9.03969791	9.224964089	9.121347748	9.095028453	9.358394147	8.959001172	9.152577468	9.25414238	9.081233305	9.141224775	8.701570322	9.036554067	8.955899386	8.89576865	8.966819398	8.527485967	9.050504385	8.861262615	8.998412302	8.708533851	8.933340577	8.92255527	9.171707984	9.34352079	8.80057302	8.930844336	9.139409519	8.762550791	9.319405074	9.284394263	9.320805987	8.876336655	9.220305129	9.179445133	9.124407062	8.960192703	9.101463729	9.239490866	8.866381211	8.789749838	9.236419507	8.938773058	8.839029517	9.220884165	9.207280694	9.118958635
X1670.CTSD	8.251610654	8.608543407	8.356691687	8.019891707	8.083076764	8.514104939	8.553806933	8.815680046	8.766142576	8.286649646	8.489538717	8.04511804	8.550413791	7.928023268	8.949564483	8.622405686	8.395712223	9.126488135	7.775653685	8.586930777	8.07232344	8.048204237	8.491281723	8.333386498	8.739207428	8.145198051	8.012999848	7.906606386	9.129404763	8.548863774	8.817332411	9.18791594	8.933986079	8.725034657	8.221684515	9.108590399	8.651185057	8.835603798	9.081793458	8.114889456	8.279233803	9.259148642	8.895733073	8.828577836	8.616530748	8.250012739	7.729663256
X1671.ANXA2.ANXA2P2	9.704014845	9.704397848	9.026975886	9.513454104	9.458934797	9.14614185	9.559293758	9.700864962	9.542552167	9.422415381	9.387441552	8.975830075	9.466915388	9.335669609	9.406926282	9.379711206	8.918705636	9.509411322	9.120055486	9.4597303	7.38892426	9.667683145	9.684357612	9.314698981	9.801114754	9.59384939	9.467213813	8.985657203	9.549475074	9.730636365	9.440732452	9.632453235	9.200546008	9.253951973	8.883327097	9.52905208	9.677917788	9.70750986	9.516996475	9.483637992	9.194638516	9.340551052	9.276890759	9.506772146	9.759902033	9.452019209	9.23665952
X1673.TUBB	9.038181721	8.905443884	8.91583615	8.878460923	8.898348948	8.90089396	9.057011677	9.167265469	9.185165452	8.751578469	9.031479804	9.047503665	8.84212396	9.08230605	8.985143378	9.083639663	8.963329004	9.083070307	8.953053957	9.143936106	9.268436853	8.982283894	8.9455908	8.999272141	8.854509567	9.031520974	8.971661926	8.983332407	9.219965803	9.188383301	9.19817149	9.255813386	9.03797485	9.082614063	8.979628543	9.204110769	9.11565035	9.232975284	9.20995474	8.919409225	8.952947592	9.092265385	9.071045408	8.99540887	9.12260286	8.986272464	9.008841304
X1676.PSAP	8.295526007	8.562804668	8.240968265	8.132394053	7.861838166	8.339155814	8.330979712	8.636519556	8.201374241	8.225229526	8.408358114	8.204948249	8.185677094	8.054841503	8.464974448	8.26960918	7.8738499	8.343272644	8.070224963	8.243881672	8.59177413	7.917944396	8.480855796	8.147115897	8.139812709	8.161405926	8.181112296	8.081574317	8.916473299	8.127113644	8.117410053	8.468072961	8.661392839	8.63651601	8.337918596	8.811632968	8.309704253	8.417554409	8.4120319	8.105488303	8.109916805	7.942981739	8.765403038	8.195717394	8.373863997	8.641045726	8.38657901
X1679.HEXB	7.6049186	7.480532881	8.151446759	7.734631839	7.71168298	7.690894146	7.899808286	7.941984304	7.957597861	7.512816128	8.33705763	7.49513407	7.639913095	7.855193181	8.134474732	7.994255863	7.60333927	7.945431216	7.739098516	7.657552006	7.087349933	7.659555176	7.706502869	7.523742892	8.042037544	7.687292482	7.352120215	7.804467865	7.994185699	7.848376187	8.381749676	8.006365618	8.194916707	8.325111803	7.913887836	7.868409876	7.943203444	8.076134761	8.14865247	8.016449258	7.81732857	8.094783238	8.081945199	8.040480415	7.929167053	8.127288793	8.007435019
X1680.CTSL	7.710526636	7.166581937	NA	6.820360313	6.967329242	6.681503978	6.843237082	7.227023175	7.345794275	NA	7.124308674	6.7839046	6.740593286	7.144263111	6.682047286	6.441309083	6.377789582	7.23722135	6.149330598	NA	NA	6.95982857	5.893057421	6.710978219	7.161055397	7.22959727	6.823961229	NA	7.043489236	7.27951319	7.587959834	7.80077217	7.082569025	7.530165633	7.813040276	7.28432878	7.274658304	7.192645132	7.832759235	8.127361158	6.100155015	6.421932575	7.360502517	7.316791387	7.384118404	7.271899333	7.005412645
X1681.PFN1	9.879537693	9.649812434	9.631251373	9.742914427	9.635017271	9.552813597	9.75048155	9.840562258	9.861193059	9.387002679	9.622147165	9.522948896	9.835065398	9.631881879	9.709975592	9.595671072	9.659404228	9.729724032	9.621452056	9.61181013	9.60223371	9.764050718	9.561282643	9.70335592	9.666025995	9.694335224	9.621271173	9.471108691	9.811912904	9.802117588	9.706268917	9.683330038	9.494730872	9.600449792	9.690883084	9.703179068	9.70112154	9.701052402	9.714369263	9.770036185	9.676906065	9.534981739	9.745400252	9.666174094	9.733203804	9.506573704	9.518027966
X1683.APRT	8.784665181	8.539583312	8.456423126	8.512923792	8.553073879	8.204987804	8.405994965	8.154950668	8.218770759	8.326557715	8.232471015	8.565116629	8.684143963	8.24362216	8.431479642	8.419005466	8.925998012	8.157359924	8.398908651	8.584098785	8.168414445	8.568422291	8.572416373	8.554935562	8.65664152	8.330969233	8.416689969	8.706383284	8.145880367	8.06807261	8.365360005	8.150990913	8.630765998	8.317940192	8.664579783	8.477713457	7.977255712	8.026212152	7.898203838	8.455134032	8.286141714	8.788977354	8.462359032	8.346643193	8.169607909	8.350342983	8.446947639
X1686.CTSB	8.273276893	8.009421894	7.995883919	7.882178568	8.020362467	7.568089419	8.37279603	8.197977857	8.907533426	7.872959632	8.040147106	7.439432244	7.847575787	8.69027839	8.822980191	8.457070715	7.388661225	8.481153885	7.808725641	8.099410627	7.032958491	8.365523954	8.520080357	8.361546269	8.174028225	8.392759549	7.744397004	8.132997404	8.664868857	8.145629219	8.610411962	8.619734806	8.572736962	8.920697482	8.039319469	8.517528536	8.672160981	8.45683893	8.652887475	8.326850547	8.041027459	8.302858806	7.963432308	8.599415096	8.145068133	8.207391625	8.310459068
X1687.HSP90AA1	9.292239824	9.135679927	8.798833946	9.45025443	9.340743229	9.175845079	9.42483933	9.316649523	9.09807835	9.11208181	9.238793089	9.222714266	9.499651983	9.288681043	9.167302839	9.390096214	9.272530558	9.18277138	9.284698009	9.035273332	9.163063553	9.489076905	9.393750712	9.294952902	9.391781627	9.460184853	9.311643082	9.106358098	9.116624467	9.443198413	9.335966378	9.225792812	9.273838186	9.179537788	9.358953361	9.121601483	9.152076798	9.198843246	9.139193209	9.199159449	9.09736306	9.392954008	9.225541576	9.359274148	9.327821185	9.152706635	9.200010682
X1692.LAMB1	5.833174658	7.156411162	6.378200476	6.268776781	7.236413449	6.338253298	7.229429047	7.317735486	8.157875836	6.933655055	7.90555427	6.29482728	7.065599996	7.467898117	6.971445187	6.88124635	6.671323432	6.860610862	7.35682967	6.878136105	5.666336789	7.350159993	6.844308952	7.654856984	6.834633042	6.571366505	7.209110625	5.457139884	7.152010262	7.458780156	7.735036193	7.594395553	6.496078214	7.188726869	6.764448054	6.954868216	7.359652904	7.000749201	7.944129516	6.180443631	6.833426729	6.998686702	7.377313206	7.518933743	7.367963187	6.699877132	7.792528885
X1693.YES1	6.27499642	5.795713433	6.753791915	5.882721367	6.066514099	NA	6.111067831	6.002917789	5.441626217	5.953081232	6.177613398	6.170729059	5.296515044	6.603558942	5.876411501	6.124299603	6.336645955	5.489879288	NA	6.29465817	5.289966298	5.822507938	5.793614963	NA	5.512792804	5.556397888	5.910429054	NA	5.340629555	5.550164137	5.805895188	5.558820123	5.52624975	5.039686635	5.332062471	6.321161826	6.106877141	6.109550957	5.272256872	5.941890808	6.060201244	NA	NA	5.22485312	5.5924001	5.942228936	NA
X1694.LYN	5.529072345	NA	NA	5.728560612	5.532076046	6.036257175	5.420204339	5.953844356	6.057655846	NA	5.150315895	6.680090307	5.977669435	NA	5.689220159	5.802991941	5.032905671	5.125707848	6.995812745	5.692292491	5.009388054	5.829215534	5.401156186	5.443598534	5.824825607	NA	NA	NA	4.744075241	5.801025901	5.813675098	5.150859019	5.54641968	NA	5.25648211	5.487093403	NA	NA	5.552983574	6.88292066	5.913921587	NA	NA	NA	5.573364722	5.162102197	NA
X1698.ERCC1	6.39294316	6.975044176	6.603300181	6.515887684	6.166826295	6.73774693	6.929015298	6.335814801	6.37585494	6.938046938	5.862919712	6.531399286	6.468579809	6.828887263	6.845796792	6.7483148	6.539749242	6.133959498	6.660884221	5.694483124	6.763102512	6.707371002	5.857404966	6.610256183	6.638776828	6.546864339	6.63748313	6.257331118	6.512224732	6.420031709	7.130860248	6.897841658	6.807329256	6.957987533	6.669621806	6.747499761	6.677485783	6.611355094	7.159423941	5.191944741	6.256907384	7.063669835	6.338710158	6.818646236	6.726410628	7.017252602	7.166444207
X1699.THBS1	6.399305453	7.566833922	6.907886887	6.106378059	6.026397925	5.543237375	7.800077385	7.540717075	7.713177279	6.310962187	6.270710431	5.6405302	6.72044701	6.044986645	5.368502921	7.393477759	6.412862342	7.832840093	6.825869409	6.834178308	NA	8.165644028	6.42535149	7.46818603	6.579731111	8.141452957	6.580958986	5.830788428	7.613429235	7.706379751	7.281161136	8.442656514	6.083590002	6.534998566	5.62925867	7.571556995	7.64359844	7.378143265	8.050244928	6.410989178	6.088577101	6.870416635	7.475800322	7.656252182	7.183754925	6.531374081	6.575476205
X1701.SP1	6.777377486	6.828681277	6.772714583	7.047418507	7.04088803	6.95692609	6.981628206	6.857378074	6.733496103	6.973696081	7.067634388	7.156590305	7.268266098	6.981684634	6.842554348	7.030628431	7.173938845	7.19074446	7.093677673	6.862083361	7.390527966	7.021211137	7.019948523	7.099460188	7.137963399	7.247797304	6.974115352	6.846203741	6.986781985	6.870335082	6.952316758	6.84253258	6.681379997	6.472224938	6.774529998	7.189622816	7.213700547	7.054502369	6.95981053	6.876814551	7.001373435	7.20420657	6.834494037	6.832374815	6.839351271	7.227096861	6.817963976
X1703.COL1A2	5.392703297	5.444151436	6.221442294	5.44898379	4.761405393	NA	NA	6.443289527	8.433414173	5.753632717	5.890632846	NA	NA	5.33621259	NA	NA	NA	5.625874956	4.841961537	4.694437022	NA	5.603000739	NA	NA	4.972748747	4.939642701	5.750299418	NA	6.297467096	7.300117336	5.719461151	8.590961529	5.542792511	5.304659301	4.954721457	NA	5.683589811	6.525647958	8.194676336	5.833694028	6.101996673	5.517687792	6.390512401	5.099130018	6.069106662	NA	4.883950629
X1705.RHOC	6.818148231	7.089187801	7.235361295	6.893319072	6.413200734	NA	6.444626476	7.358696579	7.304827439	6.71961758	6.971689911	6.92443196	6.28147657	7.425548751	7.020608771	6.932587346	6.735007692	7.578296378	6.859980413	6.881990913	6.036219577	6.472310337	6.543268617	7.157519867	6.675919486	6.660794487	7.305607415	NA	7.046944762	6.884699829	7.105581973	7.641103325	7.375503878	7.338196745	6.791782852	7.577628518	6.678282257	7.458161965	7.533080159	6.715441871	6.776695957	7.450939551	7.38312107	6.76714751	7.281717774	7.11263912	7.526728103
X1710.SLC3A2	7.814628994	8.240016958	7.760040238	7.956695328	7.988897927	7.680440719	7.696489751	7.861260888	7.980436049	7.654534488	7.669613821	7.65923179	7.610184549	7.682191939	8.042673559	7.695833846	8.211583829	7.440824997	7.270503707	7.520066655	8.030684165	7.365385078	7.493687342	7.293039427	7.992669698	7.219726516	7.447731657	7.899403058	7.764706898	7.368700369	7.854936942	7.957643522	8.197700268	7.59146576	7.97616218	8.253473684	7.079212767	7.807340175	7.818755564	7.905454026	8.076991163	7.537559672	6.95790255	7.510046486	7.693376754	7.884210727	7.03590845
X1713.PFKM	7.479591652	7.644398444	7.867197967	7.917163308	7.78005705	7.548077213	7.694081868	7.898119245	7.554687771	7.95539368	7.928491807	7.060251015	8.104664429	8.171650191	8.18136213	7.713378356	8.008706012	7.384745988	8.159051225	7.183451768	7.853349958	7.450553698	7.736529985	7.999379893	7.609100698	7.593576752	8.110944968	8.106966685	7.659947334	7.674403417	7.521566485	7.483000571	7.876589421	8.109330785	8.205866649	6.047750462	7.908402267	7.557695918	7.540822386	7.600223381	7.704508576	7.942789209	7.895464178	7.866996928	7.653108916	8.184124607	8.465675441
X1714.HSP90AB1	9.781700641	9.541985268	9.601435587	9.911886846	9.720026499	9.651830766	9.783690046	9.808776345	9.691587676	9.749577788	9.58255017	9.793290047	9.803454858	9.759488558	9.674970413	9.793595034	9.621673272	9.668817195	9.731875814	9.599605945	9.683492388	9.707289739	9.700764077	9.679771858	9.571648591	9.726606534	9.634874807	9.732536224	9.718751081	9.662568883	9.693296717	9.685867776	9.67015197	9.636949845	9.694507611	9.555863194	9.737494866	9.632096985	9.528297896	9.640785644	9.589779178	9.720093921	9.607248822	9.745403254	9.704907729	9.655157292	9.672439737
X1715.SRPR	6.35636972	6.943490859	7.18246586	6.025424682	6.475508691	7.396594167	5.897005685	5.470335607	6.676660311	7.282214259	7.120996924	7.031140413	6.150193946	7.305786347	6.109359134	6.511108449	5.92230948	6.222448614	6.144642327	5.896816538	6.197026083	6.291336422	6.300313272	6.120069165	5.687780862	6.00689785	5.968275597	6.708967546	5.515061678	5.29044371	6.42710439	6.465715429	6.329119903	6.135191768	6.50502419	6.124066809	6.24506612	6.270294253	6.330091454	6.64344084	6.170432783	6.344100561	5.861391403	5.914082059	6.275381532	6.345225195	6.324478805
X1716.ASNS	8.344956384	8.174124183	8.357202065	8.309876097	8.385607131	7.737706008	7.398207732	8.356304789	8.592014168	8.228640187	7.754170022	8.371272615	7.94639808	8.521646791	7.71797807	8.104950541	7.479680459	7.62595724	7.845316097	8.2278194	6.090630881	7.428199184	8.243374411	8.715164942	7.568856862	7.549943148	8.123765545	8.264113031	8.41701733	8.123696066	7.69523827	8.131917974	7.129525263	6.861247996	7.939844074	8.079580751	7.050927522	7.296429682	8.063789036	8.218438787	8.616965636	7.758214654	7.818105164	7.710167368	8.166577819	6.307715512	7.687378377
X1724.MME	5.487501164	5.216695609	5.72170112	NA	NA	6.371770583	NA	4.986042843	NA	5.125814838	NA	5.284267442	NA	7.411592457	4.922350408	NA	5.650072046	5.100520416	5.480894772	6.042531904	NA	NA	NA	NA	4.906556299	5.393305228	5.881282088	NA	4.977947752	5.408766695	5.522827137	6.695327333	6.394508232	6.948512984	NA	5.152253878	7.014397994	5.055059735	5.167746078	5.910757939	6.7088073	5.17486261	NA	5.516797864	5.611889361	7.000434015	5.199546183
X1727.PDHA1	7.370003088	7.973804372	7.366483947	7.496269877	7.801506005	8.012000711	7.487205947	8.176653081	7.391312822	7.771826741	8.03949825	7.786312441	7.450495817	7.692687555	7.697124816	7.494147921	7.588611869	7.779902716	7.68968598	7.93715222	7.828189094	7.475078179	7.799580657	7.771048611	7.522810312	7.773633983	7.93801274	8.38471263	7.196392628	7.083786459	6.445788989	7.485983427	7.547454326	7.792037966	7.664738235	7.888104721	7.855040918	7.737799803	7.606320669	7.629944437	7.702822447	7.51083047	7.490055964	7.495607754	7.121000295	7.777586767	7.539079618
X1732.PTPRC	5.322549267	5.884385857	4.913210969	5.177454477	4.437763947	6.945142407	5.462047821	5.600690576	5.902941732	5.674407553	5.478560011	6.650584718	5.119475286	4.938667051	4.83516684	5.198322754	NA	5.636493435	5.916764285	5.680951731	7.363968938	NA	5.021223074	5.780579004	5.268739186	NA	4.933108592	5.801330874	5.799369625	5.823196323	5.732514796	6.070283844	NA	5.178109487	5.271372299	5.175609969	5.359293339	5.651470217	5.062808516	8.014091544	5.023631441	NA	NA	5.628700099	5.244406932	5.378687082	NA
X1734.MET	4.872455791	5.382250994	6.168374309	5.892954004	NA	6.513776104	5.135871245	5.50142741	5.565419699	5.887889121	6.276680208	5.154880882	4.987975446	5.462657421	4.749325754	5.337950807	NA	NA	NA	5.106751598	5.851770917	5.454660417	NA	4.91444626	5.754488523	NA	5.044675692	NA	6.332834111	5.076750031	6.037616493	NA	5.46610921	5.449520685	4.713501684	NA	5.93113952	5.267597332	5.340911849	5.236081209	5.964349822	NA	5.955089332	5.718453423	NA	NA	6.273126728
X1740.ITGA5	6.296534252	6.108668458	NA	5.307129702	5.54231049	6.527656042	5.526893194	6.107627148	7.02121187	NA	6.079186112	6.131656145	NA	7.178395029	6.145843288	6.3597074	5.112731989	5.731671454	NA	NA	5.435155902	5.787607292	NA	NA	5.148187474	5.402257384	NA	5.879010476	NA	5.620986941	6.935875712	6.880633484	5.098572919	NA	5.175968522	NA	6.472442751	NA	6.768402807	6.05075721	NA	NA	NA	NA	5.900386228	5.326622397	5.892526299
X1743.RPS17	9.199460899	8.971443253	8.794516263	9.304963838	9.280829228	8.603530194	9.173325571	9.164219351	9.171748265	8.748552822	8.962739534	9.196326346	9.091628719	9.124505369	9.144243675	8.965846665	8.980900371	8.943880921	8.902049937	9.078749041	8.897214526	9.200159463	9.281609589	9.198492698	9.217953224	9.0278198	8.901296118	9.093237251	9.123848681	9.106119076	9.171305	9.149637096	9.098117975	9.061188633	9.18688762	8.931679239	8.92641133	9.022491898	8.979894685	8.969290269	8.971538911	9.110966276	8.906179661	9.141855475	9.165854431	8.802970323	9.020854351
X1745.GNAI3	6.814662016	6.956947044	6.808149577	6.703206524	6.977189892	7.351498401	6.582293871	6.973531306	6.762620386	6.952691318	6.820681879	7.359834687	6.837138716	7.044149854	7.152008594	7.151612259	7.01755396	6.924558454	6.407315897	6.912683953	7.681394312	6.578839176	6.989181247	6.380664201	6.547207636	6.908171164	6.116590225	6.858888938	7.158297033	6.82014027	6.856094264	7.039352528	7.260682451	6.972821404	6.505710171	7.317979108	6.079403155	7.367486082	6.969531333	7.345707173	6.87405241	6.910031244	6.90596092	6.138612727	6.698276595	6.839499867	5.715566168
X1747.RPSA	9.115378197	9.086388759	9.079058306	9.305660477	9.260689196	9.098034506	9.190267695	9.1903798	9.184132032	9.168400916	9.072653132	9.231295448	9.172483813	9.253938811	9.133061056	9.205562659	9.24145819	9.11440029	9.247264436	9.12679925	9.170134675	9.23551736	9.206728026	9.173996222	9.124937993	9.198579282	9.063379342	9.258738881	9.16191383	9.171225599	9.234396659	9.170618467	9.080019215	9.142738622	9.226860598	9.081170043	9.09407565	9.179301653	9.054383492	9.138427465	9.140547866	9.185178216	9.068778765	9.257287352	9.215484185	9.049572285	9.113386881
X1748.CD63	7.008994229	7.004782502	NA	NA	6.293144216	7.379569444	6.508555185	7.102872657	6.583167388	7.009427713	7.160870102	7.683361048	6.664615483	6.49760384	7.54435949	NA	NA	6.634148259	6.543490147	5.804928723	6.051425147	6.789726153	NA	6.311787577	6.906396396	6.512103333	6.607527765	6.702996307	6.263272522	6.084948193	6.657998213	7.571885938	6.800874723	7.152419744	7.482552635	7.399268701	NA	6.861578333	6.79891154	7.609312472	7.003611032	NA	NA	6.282960217	6.443642515	7.868281562	7.112192123
X1755.ENO2	7.84552798	7.780100728	7.215802841	7.973232955	8.005046266	7.861899301	7.882681726	7.81177129	7.845391538	7.215700681	7.444304897	7.011721196	8.648237748	7.257954498	8.234858285	7.781980654	8.066402528	8.150621814	7.380776718	7.094153025	7.848494528	8.264298022	7.59313492	7.461137178	7.496765359	8.364361633	8.296558156	7.817301206	8.479011	8.362274668	7.831963367	7.836745907	8.27355125	8.493463931	7.221068899	7.372405094	8.035410182	7.961882721	8.06049934	8.129248486	7.976590953	6.958996108	7.728196302	7.751048652	7.976016763	8.365671692	7.170568992
X1757.ACAA1	7.261311459	7.649161968	7.739140487	7.288479942	7.625630259	7.506366502	7.57051966	7.902550136	7.587562224	7.727861515	7.594280843	7.548784385	7.807566435	7.453855154	7.606174775	7.180934497	7.377873739	7.590462602	7.337218883	7.805114572	7.605749472	7.263018951	7.736470353	7.915606333	7.895997271	7.288903106	7.805970069	7.619291648	6.747275452	7.746679144	7.521103327	7.151287529	7.751431629	7.913660103	7.608484334	7.686246197	7.53240342	7.968794156	7.984530937	7.644336513	7.606557367	7.476414247	7.381448675	7.263841981	7.416093749	7.56017145	7.545401952
X1758.SRP19	8.007095584	7.688597388	7.960249208	7.893996975	7.972206723	7.676095438	8.069574597	7.846501075	7.817088877	7.841868021	7.955672	7.644356192	7.935440803	7.920122926	7.64055136	7.912464478	8.148955318	7.887951525	7.869237772	7.690714316	7.660141462	8.09634413	7.979974832	7.826203931	7.976405338	7.943489878	8.066816949	7.67136403	7.73699324	7.97426736	8.126980118	7.982065267	7.883607799	7.721532474	7.824150773	7.961071934	7.947928475	7.853714195	7.741300696	7.829465213	7.849674954	8.070252921	7.832437181	7.831849002	7.979979788	7.939056626	7.821442221
X1759.GSTP1	8.770678537	9.766956361	9.547980145	9.234530381	9.445063186	9.300477804	8.910189785	9.379786973	9.287848165	9.364618742	9.375942142	9.396672986	7.086068689	9.109469025	9.484827209	9.197628341	7.206069693	9.158236402	9.114078104	8.695054382	9.261960876	9.517498157	9.306027992	9.855205427	9.600032039	9.472925029	9.039554236	7.244229967	9.547788576	9.190481126	9.067114921	8.544457207	8.967357896	9.457362853	9.227077648	9.677440966	9.272833177	9.149115365	9.241647174	9.31045928	9.54561482	7.263449309	6.641227495	8.805179809	9.345129536	9.107818393	9.207808094
X1763.VIL1	5.775953893	5.495405414	8.686502662	5.684287737	7.901447296	5.007208743	5.560386823	6.465876347	5.928501908	8.10393488	6.102465336	5.989740007	7.771751179	5.846297339	5.247166004	NA	5.740190221	5.51940991	5.915679276	5.697112045	6.057762932	NA	5.709622596	6.552369797	7.127324564	5.652104922	5.254403883	NA	NA	5.104975759	5.929737402	5.9664052	5.091544193	5.967760226	5.72058021	5.981049324	NA	6.095805342	6.637521354	5.146210728	8.379116713	6.13124097	NA	4.890776377	NA	5.28526764	NA
X1765.LGALS1	9.683716099	9.289421315	7.231679991	9.29690157	7.766510805	9.031248338	9.693870268	9.826394806	9.970947692	7.809454838	9.396685276	8.874647406	8.254499889	9.431015998	9.533369784	9.498839595	8.965861417	9.651644435	9.462947321	9.202325023	6.547332785	9.68946464	8.672750701	9.538395994	9.309155499	9.64891191	9.475338282	8.985053684	9.83154333	9.701918641	9.847874554	9.733504038	9.675524671	9.942079803	9.332811578	9.621518646	9.491971491	9.636129083	9.94713595	9.751678279	9.391558311	9.486290859	9.630065573	9.429072372	9.564462992	9.280818077	9.637647442
X1766.QDPR	7.768553993	7.682854526	7.96482798	7.887482514	7.896375326	8.074563327	7.819561904	7.918556583	7.570740929	7.36775722	7.374425663	7.718436519	7.888905366	7.473520053	8.523509787	7.474953081	7.578572233	7.852946501	8.330849044	7.197545547	8.071956128	8.119215521	7.840012752	7.729491856	7.496313311	7.866269619	7.823922165	8.023439063	7.939789302	7.580122944	7.758331188	7.277607799	8.513058253	8.533625518	8.533852406	7.976137807	7.739206382	7.971669461	7.770798235	7.843359112	8.180993131	7.627225002	8.063804206	7.987035922	7.554814632	8.192928371	8.673344449
X1767.HMGB1	9.401191829	9.429813384	9.549234604	9.643051382	9.675071699	9.665951499	9.595673845	9.573447135	9.588144177	9.643546177	9.57503618	9.353615131	9.595761883	9.430777992	9.576551134	9.489543887	9.7729737	9.485566918	9.332780839	9.385338022	9.599632602	9.344367383	9.415792909	9.47229097	9.590496975	9.565106704	9.458738266	9.418098755	9.820166158	9.743193263	9.649461971	9.514922043	9.488661869	9.313799825	9.535370172	9.640778816	9.491559041	9.418111935	9.525275509	9.149651563	9.55386515	9.46826472	9.660934581	9.505158996	9.460914347	9.538146307	9.246341999
X1770.FBP1	6.995923215	7.176949266	5.850715085	6.044489083	6.378687461	7.197386682	NA	6.172000442	5.947247734	7.788131732	5.292451562	5.070665736	6.291743592	6.644232162	NA	7.123726844	8.964834541	7.506523392	5.655848979	6.595549243	6.631870128	5.839572975	5.383133325	NA	6.321628019	NA	5.871764663	6.239350341	5.763666895	4.936190201	5.5517597	NA	NA	NA	NA	5.658005985	4.848954995	5.790738649	NA	4.990599082	NA	7.983016581	5.895334651	NA	NA	5.825156992	NA
X1772.SPARC	NA	NA	5.886580952	NA	NA	7.044855733	7.343357678	7.226967482	8.878101867	5.347032933	5.239420264	5.863866115	5.828549994	7.661621963	8.000565977	7.4700753	NA	NA	7.45012948	6.379436368	NA	7.86363862	5.275427966	NA	6.927162813	7.496743807	NA	NA	7.120310323	8.074260098	8.468753783	8.906002524	7.647114379	8.414743851	8.119591572	5.65739721	8.429312497	8.309431525	8.619459062	NA	4.938100974	6.302038569	7.509770179	7.627821671	8.082892022	7.781648365	8.231531643
X1776.TPM1	7.741237661	7.692083999	7.405332209	6.692575013	7.090188614	6.053603832	7.875237667	7.751685884	8.414352662	7.226568854	6.530107684	6.620013125	7.487451382	7.33125125	7.018710991	8.005973738	5.831362714	7.367283734	7.467494098	8.037999082	6.723327405	7.466265247	7.716483056	8.285076923	7.221083463	7.878684225	7.15530153	6.579206585	8.021347461	7.981521522	8.00981286	8.415605861	7.028075051	6.689566548	6.586808315	7.400951238	7.412050503	7.73076901	8.286089587	6.204206868	5.833902899	7.742323282	8.258630458	8.025377123	7.623818784	7.017252602	7.345027284
X1777.TPM1	8.929921678	8.889759848	8.531431198	8.491771513	8.484410203	8.478558014	9.081066705	9.134559406	9.507618156	8.548283449	8.835955415	8.337216943	8.67279417	8.641008263	8.48338207	9.040948637	8.49808287	8.612716675	8.744061445	9.202038586	8.355389668	8.869446071	8.840487576	9.458075511	8.534187523	9.036039313	8.479272241	8.386934908	9.275458855	9.215353572	9.18776873	9.553267637	8.534502691	8.644773361	8.475874225	8.606749755	8.732437976	8.9371647	9.346939559	8.553211659	8.406382891	8.781574035	9.379230552	9.179236806	8.790111858	8.463993095	8.506008957
X1778.TPM1	7.525166966	7.733621106	7.461008654	6.831541852	7.312252932	7.156935859	7.04854812	7.168127323	6.49557665	7.441064084	7.973276589	7.148004591	7.944577739	7.769904499	7.385816599	7.665496268	7.398754381	7.89142563	7.938262406	7.296275656	6.780725864	7.008780027	7.313865762	6.356099564	7.557890693	6.581322646	7.497169141	6.953770016	6.135458144	6.694018732	7.800283169	7.221329601	7.345519673	7.156602761	7.138437295	7.848671522	7.29361701	7.562424054	6.924463342	6.358750656	7.592616231	7.517123673	NA	NA	7.702766597	7.466336541	7.664974267
